answer,bijoy_detected,explanation,fingerprint,id,question,raw,source_file,topic
Chapter / Cluster 01 - যৌগিক শব্দ,False,═════════════════════════════════════════════════════════════════,b0219550f68d3f4aed4ca41b8245dcf3cb00ca79ce5caa31c65f8921ba1e2f59,data_tag_id_105_Stage4_final_output-1,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 01  —  যৌগিক শব্দ\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
"• অর্থাৎ, শব্দগঠনের প্রক্রিয়ায় যাদের অর্থ পরিবর্তিত হয় না, তাদেরকে যৌগিক শব্দ বলে।",False,• যৌগিক শব্দের ক্ষেত্রে এই দুটি অর্থই অভিন্ন থাকবে।,99e875420e81b82685c1af6cd2ddb4c30d7d2bc2df0cb228ea7725d496d4c0ad,data_tag_id_105_Stage4_final_output-2,"• যে সকল শব্দের ব্যুৎপত্তিগত অর্থ ও ব্যবহারিক অর্থ একই রকম, সেগুলোকে যৌগিক শব্দ বলে।","{'text_block': ""•  যে সকল শব্দের ব্যুৎপত্তিগত অর্থ ও ব্যবহারিক অর্থ একই রকম, সেগুলোকে যৌগিক শব্দ বলে।\n  •  অর্থাৎ, শব্দগঠনের প্রক্রিয়ায় যাদের অর্থ পরিবর্তিত হয় না, তাদেরকে যৌগিক শব্দ বলে।\n  •  যৌগিক শব্দের ক্ষেত্রে এই দুটি অর্থই অভিন্ন থাকবে।\n  •  অর্থাৎ, শব্দগঠনের প্রক্রিয়ায় যেসব শব্দের ব্যবহারিক অর্থ তাদের ব্যুৎপত্তিগত অর্থকেই অনুসরণ করে তাদের যৌগিক শব্দ বলে।\n  •  যেসব শব্দের অর্থ তাদের প্রকৃতি ও প্রত্যয়ের অর্থ অনুযায়ী হয়ে থাকে, তাকে বলা হয় যৌগিক শব্দ।\n  •  গায়ক (গৈ+অক) = যে গান করে\n  •  কর্তব্য (কৃ+তব্য) = যা করা উচিত\n  •  বাবুয়ানা = বাবু + আনা – অর্থ: বাবুর ভাব।\n  •  মধুর (মধু+র) = মধুর মত মিষ্টি গুণযুক্ত।\n  •  দৌহিত্র = দুহিতা +ষ্ণ্য-অর্থ: কন্যার পুত্র, নাতি।\n  •  চিকামারা = চিকা + মারা-অর্থ: দেওয়ালের লিখন।\n  •  পিতা + হীন = পিতৃহীন, অর্থ- যার পিতা নেই।\n  •  গুণবান, পাঠক, মিতালি, ভাড়াটে, সংবাদদাতা, বিদ্যালয়, পাচক,\n  •  'পাগলামি' গঠন অনুসারে যৌগিক শব্দ।\n  •  পাগলামি = পাগল + আমি অর্থ: পাগলের মত ভাব।\n  •  বাংলা তদ্ধিত প্রত্যয় উক যোগে লাজুক শব্দটি গঠিত হয় যা একটি যৌগিক শব্দ।\n  •  গোলাপ মৌলিক শব্দ।\n  •  ফুল মৌলিক শব্দ।\n  •  পঙ্কজ, রাজপুত, জলধি, জলদ, মহাযাত্রা, সরােজ যোগরূঢ় শব্দ।\n  •  গবেষণা রূঢ়ি শব্দ।\n  •  প্রবীণ রূঢ়ি শব্দ।\n  •  রূঢ় বা রূঢ়ী শব্দ : সন্দেশ, জ্যাঠামি , অতিথি, কুশল, গবাক্ষ , দুহিতা, পাঞ্জাবি, বাঁশি, রাখাল, স্নাতক ইত্যাদি।\n  •  যােগরূঢ় শব্দ : মন্দির, অন্ন ইত্যাদি।""}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 02 - রূঢ়ি শব্দ,False,═════════════════════════════════════════════════════════════════,77ee450f5a94d17e62e465d87072e7d4742cb9cee760840251ec61a89565f84b,data_tag_id_105_Stage4_final_output-3,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 02  —  রূঢ়ি শব্দ\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
• যেসব শব্দ বিশ্লেষণ করলে অর্থপূর্ণ কোনো অংশ থাকে না সেগুলোকে মৌলিক শব্দ বলে।,False,• সমাস নিষ্পন্ন যে সকল শব্দ সম্পূর্ণভাবে সমস্যমান পদসমূহের অনুগামী না হয়ে কোনো বিশিষ্ট অর্থ গ্রহণ করে তাদের যোগরূঢ় শব্দ বলে।,5541aa4d084ef388d31c4369e2ca9e525fd6c68130da32065a7adf47d93cefc1,data_tag_id_105_Stage4_final_output-4,"• যে শব্দ প্রত্যয় বা উপসর্গযোগে মূল শব্দের অর্থের অনুগামী না হয়ে অন্য কোন বিশিষ্ট অর্থ জ্ঞাপন করে, তাকে রূঢ়ি শব্দ বলে।","{'text_block': ""•  যে শব্দ প্রত্যয় বা উপসর্গযোগে মূল শব্দের অর্থের অনুগামী না হয়ে অন্য কোন বিশিষ্ট অর্থ জ্ঞাপন করে, তাকে রূঢ়ি শব্দ বলে।\n  •  যেসব শব্দ বিশ্লেষণ করলে অর্থপূর্ণ কোনো অংশ থাকে না সেগুলোকে মৌলিক শব্দ বলে।\n  •  সমাস নিষ্পন্ন যে সকল শব্দ সম্পূর্ণভাবে সমস্যমান পদসমূহের অনুগামী না হয়ে কোনো বিশিষ্ট অর্থ গ্রহণ করে তাদের যোগরূঢ় শব্দ বলে।\n  •  হস্তী, গবেষণা, বাঁশি, তৈল, প্রবীণ, সন্দেশ, পাঞ্জাবি, মন্দির, ফলাহার, কারচুপি, রাখাল, কদর্য, শুশ্রূষা, অর্ধাঙ্গী, জেঠামি রূঢ়ি শব্দ।\n  •  পঙ্কজ, জলধি, আদিত্য, রাজপুত, মহাযাত্রা, দশানন, বহুব্রীহি, গোঁফখেজুরে যোগরূঢ় শব্দ।\n  •  যেমন : মা, বউ, লতা, গাছ, পাখি, ফুল ইত্যাদি মৌলিক শব্দ।\n  •  জলধিঃ 'জল ধারণ করে এমন' অর্থ পরিত্যাগ করে একমাত্র 'সমুদ্র' অর্থেই ব্যবহৃত হয়।\n  •  হস্তী = হস্ত + ইন, অর্থ হস্ত আছে যার; কিন্তু হস্তী বলতে একটি পশুকে বোঝায়।\n  •  গবেষণা = গো + এষণা (গো=গরু, এষণা=খোঁজা) কিন্তু বর্তমান অর্থ ব্যাপক অধ্যয়ন ও পর্যালোচনা।\n  •  বাঁশি = বাঁশ + ইন, (বাঁশ দিয়ে তৈরি) কিন্তু এটি বাঁশের তৈরি বিশেষ বাদ্যযন্ত্র।\n  •  তৈল = তিল + ষ্ণ্য, (তিল থেকে তৈরি স্নেহ পদার্থ) কিন্তু এটি উদ্ভিদ থেকে তৈরি যে কোন স্নেহ পদার্থ।\n  •  প্রবীণ = প্র + বীণা (প্রকৃষ্টরূপে বীণা বাজায় যিনি) কিন্তু এটি অভিজ্ঞ বয়স্ক ব্যক্তি।\n  •  সন্দেশ = সম + দেশ (সংবাদ) কিন্তু এটি মিষ্টান্ন বিশেষ।\n  •  জেঠামি = জেঠা + আমি। জেঠা অর্থ বয়স্ক ব্যাক্তি আর জেঠামি অর্থ পাকামি; বৃদ্ধ না হয়েও তদ্রূপ আচরণ বা ব্যবহার।\n  •  অর্ধাঙ্গী = অর্ধাঙ্গ + ঈ যার অর্থ দাঁড়ায় 'অর্ধ অঙ্গ আছে যার' কিন্তু ব্যবহারিক অর্থ স্ত্রী।\n  •  পঙ্কজ = পঙ্কে(কাদায়) জন্মে যে (পদ্মফুল)।\n  •  আদিত্য = অদিতির পুত্র (সূর্য)।\n  •  রাজপুত = রাজার পুত্র (জাতি বিশেষ)।""}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 03 - উদাহরণ,False,═════════════════════════════════════════════════════════════════,26efcd6d34d25901144b1ba1a9ace82b55fb432760d7695b0157fb9ce306acdc,data_tag_id_105_Stage4_final_output-5,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 03  —  উদাহরণ\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
• মৌলিক শব্দগুলোই ভাষার মূল উপকরণ।,False,"• যেমন- গোলাপ, নাক, লাল, তিন, হাত, পা, কলম, গাছ, পাখি, দেশ, ঢাকা, ফুল, ঘর, মা, ঘােড়া, উট, বউ, শাল, লতা ইত্যাদি।",7d4f572c79d40a05bc04966226b9e52100fa690a17c8b75a17d0295db288c246,data_tag_id_105_Stage4_final_output-6,• যেসব শব্দ বিশ্লেষণ করা যায় না বা ভেঙ্গে আলাদা করা যায় না সেগুলোকে মৌলিক শব্দ বলে।,"{'text_block': '•  যেসব শব্দ বিশ্লেষণ করা যায় না বা ভেঙ্গে আলাদা করা যায় না সেগুলোকে মৌলিক শব্দ বলে।\n  •  মৌলিক শব্দগুলোই ভাষার মূল উপকরণ।\n  •  যেমন- গোলাপ, নাক, লাল, তিন, হাত, পা, কলম, গাছ, পাখি, দেশ, ঢাকা, ফুল, ঘর, মা, ঘােড়া, উট, বউ, শাল, লতা ইত্যাদি।\n  •  যেসব শব্দকে বিশ্লেষণ করা হলে আলাদা অর্থবোধক শব্দ পাওয়া যায় সেগুলোকে সাধিত শব্দ বলে।\n  •  চাঁদমুখ (চাঁদের মত মুখ), নীলাকাশ (নীল যে আকাশ), গরমিল (গর+মিল), চলন্ত (চল্ + অন্ত), প্রশাসন (প্র + শাসন), ডুবুরি (ডুব্\u200c + উরি), পরিচালক, সম্পাদকীয়, সংসদ সদস্য, পানসা, ফুলেল, হাতল, লালচে, কাঠগোলাপ, মানব, সেতার, ঢাকাই, আহার, ফিসফিস, ধুমাধুম, পথিক, চলা, দরদি ইত্যাদি।\n  •  গঠনগতভাবে শব্দ দুই প্রকার।\n  •  যথা- মৌলিক শব্দ ও সাধিত শব্দ।\n  🔗 উৎসঃ বাংলা ভাষার ব্যাকরণ-নবম দশম শ্রেণী।'}",data_tag_id_105_Stage4_final_output.txt,
,False,,96ef52608341905fd00ed4641e21c75c82a0d4992d1d60188bee53bf3928368f,data_tag_id_105_Stage4_final_output-7,🔗 উৎস: মাধ্যমিক বাংলা ব্যাকরণ (2019 ও 2021 সংস্করণ)।,{'text_block': '🔗 উৎস: মাধ্যমিক বাংলা ব্যাকরণ (২০১৯ ও ২০২১ সংস্করণ)।'},data_tag_id_105_Stage4_final_output.txt,
,False,,372d926d54359428af7ee5ab5c0c1db390e74dba3db6303e8aa0d1ab41100808,data_tag_id_105_Stage4_final_output-8,"🔗 তথ্যসূত্র: বাংলা ভাষার ব্যাকরণ ও নির্মিতি, নবম-দশম শ্রেণি (2022 সংস্করণ)।","{'text_block': '🔗 তথ্যসূত্র: বাংলা ভাষার ব্যাকরণ ও নির্মিতি, নবম-দশম শ্রেণি (২০২২ সংস্করণ)।'}",data_tag_id_105_Stage4_final_output.txt,
,False,,0f0d9c1975f85d92041ee36e463411844f91cf2a79f6600ece6a3f3b217bff67,data_tag_id_105_Stage4_final_output-9,"🔗 উৎস: বাংলা ভাষার ব্যাকরণ, নবম-দশম শ্রেণি (2019 সংস্করণ) এবং ভাষা-শিক্ষা, ড. হায়াৎ মামুদ।","{'text_block': '🔗 উৎস: বাংলা ভাষার ব্যাকরণ, নবম-দশম শ্রেণি (২০১৯ সংস্করণ) এবং ভাষা-শিক্ষা, ড. হায়াৎ মামুদ।'}",data_tag_id_105_Stage4_final_output.txt,
,False,,f2d6597e0c5757e194355ad8aaedee4700342c252d82b900a0eb822f449fb90a,data_tag_id_105_Stage4_final_output-10,"🔗 উৎস: শীকর বাংলা প্রশ্ন-পাঠ, মোহসীনা নাজিলা।","{'text_block': '🔗 উৎস: শীকর বাংলা প্রশ্ন-পাঠ, মোহসীনা নাজিলা।'}",data_tag_id_105_Stage4_final_output.txt,
